OBJECTID,FOREST_NAME,WATERSHED_CODE,WATERSHED_NAME,WATERSHED_CONDITION_FS_AREA,TOTAL_WATERSHED_AREA_ACRES,FS_OWNERSHIP_PERCENT,NONFS_AREA_PERCENT,AQUATIC_BIOTA_CONDITION,RIPARIAN_WETLAND_VEG_CONDITION,WATER_QUALITY_CONDITION,WATER_QUANTITY_CONDITION,AQUATIC_HABITAT_CONDITION,ROADS_AND_TRAILS_CONDITION,SOIL_CONDITION,FIRE_EFFECTS_REGIME_CONDITION,FOREST_COVER_CONDITION,FOREST_HEALTH_CONDITION,INVASIVE_SPECIES_CONDITION,RANGELAND_VEGETATION_CONDITION,YEAR_PRIORITY_IDENTIFIED,PRINCIPAL_REASON,SELECTION_NARRATIVE,KNOWN_PARTNERS,APPROVAL_DATE,ESTIMATED_COMPLETION_DATE,ESSENTIAL_PROJECT_COUNT,ESSENTIAL_PROJECT_EST_COST,ACTUAL_COMPLETION_DATE,RESTORATION_ACTION_PLAN,RESTORATION_ACTION_PLAN_IND,FS_UNIT_ID,WRAP_NAME,WRAP_APPROVAL_DATE,ACCOMPLISH_REPORT_IND,USFS_OWNERSHIP_ACRES
13168,Dakota Prairie Grasslands,101000042401,Upper Bennie Peer Creek,Functioning at Risk,36520.1,51,49,Fair,Good,Good,Fair,Fair,Poor,Fair,Good,Good,Good,Good,Fair,,,,,,,,,,,,0118,,,,18654.99
13189,Beaverhead-Deerlodge National Forest,100200050301,Upper Little Whitetail Creek,Functioning at Risk,26413.2,77,23,Poor,Fair,Fair,Fair,Poor,Fair,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0102,,,,20230.613
13215,Dakota Prairie Grasslands,101303020901,Box Spring Creek,Functioning Properly,9711.0,25,75,Fair,Good,Fair,Fair,Fair,Poor,Good,Good,----,Good,Good,Good,,,,,,,,,,,,0118,,,,2411.443
13232,Kootenai National Forest,170101010702,Upper Fortine Creek,Functioning Properly,25131.5,95,5,Good,Poor,Good,Good,Good,Fair,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0114,,,,23932.011
13319,Beaverhead-Deerlodge National Forest,100200040604,Doolittle Creek,Functioning at Risk,14327.300000000001,85,15,Fair,Fair,Fair,Fair,Good,Fair,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0102,,,,12235.42
13320,Dakota Prairie Grasslands,101102031311,Morgan Draw-Little Missouri River,Functioning Properly,12571.4,54,46,Fair,Good,Good,Good,Good,Fair,Poor,Good,Good,Good,Good,Poor,,,,,,,,,,,,0118,,,,6792.309
13322,Dakota Prairie Grasslands,101102030104,Indian Creek,Functioning at Risk,15285.1,55,46,Fair,Fair,Good,Fair,Good,Fair,Fair,Good,Good,Good,Good,Fair,,,,,,,,,,,,0118,,,,8332.751
13335,Dakota Prairie Grasslands,101102050207,Sheep Creek,Functioning Properly,25891.3,48,52,Fair,Good,Fair,Good,Good,Fair,Fair,Good,Good,Good,Good,Poor,,,,,,,,,,,,0118,,,,12538.061
13337,Kootenai National Forest,170101010701,Lake Creek-Swamp Creek,Functioning Properly,28963.8,91,9,Good,Poor,Fair,Good,Good,Fair,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0114,,,,26278.581
13339,Custer Gallatin National Forest,100200080904,Bozeman Creek,Functioning Properly,33235.6,51,49,Fair,Good,Good,Fair,Good,Poor,Good,Fair,Good,Good,Good,Good,2011,<Principal_Reason><Resources><Resource><Value>Municipal Watershed</Value></Resource></Resources><Concerns><Concern><Value>Wildfire Risk</Value></Concern><Concern><Value>Water Quality</Value></Concern><Concern><Value>Invasive Species</Value></Concern></Concerns></Principal_Reason>,"Water quality 303(d) listing of  Bozeman Creek (below the Forest boundary) , water quality impacts from roads, heavy recreation use, heavy fuels buildup and loss of natural wildfire interval, conifer encroachment,  loss of whitebark pine, loss of aspen.   ",<Known_Partners><Partner><Name>City of Bozeman</Name><Type>Known</Type></Partner><Partner><Name>Montana State University</Name><Type>Known</Type></Partner><Partner><Name>Bridger Ski Foundation</Name><Type>Known</Type></Partner><Partner><Name>Montana Department of Environmental Quality</Name><Type>Known</Type></Partner><Partner><Name>Gallatin County Weed Control District</Name><Type>Known</Type></Partner></Known_Partners>,2018-10-31,2021-09-30,9,1755000,,,Y,0111,Bozeman Creek Watershed Restoration Action Plan,2018-10-31,,17049.503
