OBJECTID,FOREST_NAME,WATERSHED_CODE,WATERSHED_NAME,WATERSHED_CONDITION_FS_AREA,TOTAL_WATERSHED_AREA_ACRES,FS_OWNERSHIP_PERCENT,NONFS_AREA_PERCENT,AQUATIC_BIOTA_CONDITION,RIPARIAN_WETLAND_VEG_CONDITION,WATER_QUALITY_CONDITION,WATER_QUANTITY_CONDITION,AQUATIC_HABITAT_CONDITION,ROADS_AND_TRAILS_CONDITION,SOIL_CONDITION,FIRE_EFFECTS_REGIME_CONDITION,FOREST_COVER_CONDITION,FOREST_HEALTH_CONDITION,INVASIVE_SPECIES_CONDITION,RANGELAND_VEGETATION_CONDITION,YEAR_PRIORITY_IDENTIFIED,PRINCIPAL_REASON,SELECTION_NARRATIVE,KNOWN_PARTNERS,APPROVAL_DATE,ESTIMATED_COMPLETION_DATE,ESSENTIAL_PROJECT_COUNT,ESSENTIAL_PROJECT_EST_COST,ACTUAL_COMPLETION_DATE,RESTORATION_ACTION_PLAN,RESTORATION_ACTION_PLAN_IND,FS_UNIT_ID,WRAP_NAME,WRAP_APPROVAL_DATE,ACCOMPLISH_REPORT_IND,USFS_OWNERSHIP_ACRES
13849,Custer Gallatin National Forest,100901020207,Paget Creek,Functioning Properly,9041.800000000001,96,4,Fair,Fair,Good,Fair,Fair,Fair,Good,Fair,Good,Good,Fair,Good,,,,,,,,,,,,0111,,,,8702.486
13855,Custer Gallatin National Forest,100700020908,Susie Creek-Boulder River,Functioning at Risk,18406.7,10,91,Poor,Good,Poor,Good,Good,Good,Poor,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,1746.371
13856,Kootenai National Forest,170101030405,Pheasant Creek-Yaak River,Functioning Properly,35013.9,94,6,Good,Fair,Good,Fair,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0114,,,,33047.425
13886,Flathead National Forest,170102110202,Cold Creek,Functioning Properly,21490.0,96,4,Fair,Poor,Good,Good,Good,Poor,Good,Good,Good,Good,Fair,----,2013,"<Principal_Reason><Concerns><Concern><Value>Riparian Structure and Function</Value></Concern><Concern><Value>Invasive Species</Value></Concern></Concerns><Cost>&lt; $100,000</Cost></Principal_Reason>",Cold Creek is priority because it is in Class 2 condition and in need of some resource improvements.  It is also a high priority in the R1 Bull Trout Conservation Strategy.,<Known_Partners><Partner><Name>Montana Department of Environmental Quality</Name><Type>Known</Type></Partner><Partner><Name>SEC</Name><Type>Known</Type></Partner></Known_Partners>,2014-05-25,2017-09-30,4,120000,2017-09-30,,Y,0110,DRAFT Cold Creek Watershed Action Plan,2014-05-25,Y,20651.8
13952,Bitterroot National Forest,170102050801,Upper Rye Creek,Functioning Properly,18257.0,94,6,Fair,Fair,Good,Good,Good,Poor,Fair,Fair,Good,Good,Poor,Fair,2014,<Principal_Reason><Concerns><Concern><Value>Water Quality</Value></Concern><Concern><Value>Species Habitat</Value></Concern></Concerns><Cost>$1 million to $5 million</Cost></Principal_Reason>,Fish habitat,,2014-06-03,2019-09-30,3,1500000,2021-09-30,,Y,0103,FY 2014 Watershed Restoration Action Plan,2014-06-03,,17153.043
14186,Bitterroot National Forest,170102050301,West Fork Bitterroot River-Mud Creek,Functioning at Risk,18339.4,93,7,Poor,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Good,Good,Fair,Good,2024,<Principal_Reason><Concerns><Concern><Value>Wildfire Risk</Value></Concern><Concern><Value>Water Quality</Value></Concern><Concern><Value>Riparian Structure and Function</Value></Concern></Concerns><Opportunities><Opportunity><Value>Larger-Scale Restoration</Value></Opportunity><Opportunity><Value>Potential Partnership</Value></Opportunity><Opportunity><Value>Improve Condition</Value></Opportunity></Opportunities></Principal_Reason>,"Bull trout Ch, RFSS cutthroat habitat. Road maintenance/sedimentation issues, aquatics organism barriers, high road density. ",<Known_Partners><Partner><Name>Trout Unlimited</Name><Type>Known</Type></Partner></Known_Partners>,2024-01-03,2028-09-30,,,,,,0103,West Fork Bitterroot River-Mud/Rombo Creek ,2024-01-03,,17046.239
14897,Custer Gallatin National Forest,100301010201,Upper South Fork Sixteenmile Creek,Functioning Properly,17124.0,64,36,Poor,Good,Good,Good,Fair,Good,Poor,Fair,Good,Good,Good,Good,2014,"<Principal_Reason><Concerns><Concern><Value>Invasive Species</Value></Concern><Concern><Value>Species Habitat</Value></Concern><Concern><Value>Water Quality</Value></Concern></Concerns><Cost>$100,000 to $1 million</Cost></Principal_Reason>","Invasive aquatice species, fish passage issues, water quality impacts from roads, tree mortality from insects, non-navite grasses and noxious weeds. ","<Known_Partners><Partner><Name>Montana Department of Fish, Wildlife and Parks</Name><Type>Known</Type></Partner><Partner><Name>US Fish and Widlife Service</Name><Type>Known</Type></Partner><Partner><Name>Northwest Energy</Name><Type>Known</Type></Partner><Partner><Name>Trout Unlimited</Name><Type>Known</Type></Partner></Known_Partners>",2014-07-03,2016-09-30,5,365000,2016-09-10,,Y,0111,Upper South Fork Sixteenmile Creek WRAP,2014-07-03,Y,10930.99
14900,Nez Perce-Clearwater National Forest,170603030303,Fishing Creek,Functioning Properly,17202.0,100,0,Good,Fair,Good,Good,Good,Poor,Good,Poor,Good,Good,Good,Poor,2011,<Principal_Reason><Concerns><Concern><Value>Invasive Species</Value></Concern><Concern><Value>Species Habitat</Value></Concern><Concern><Value>Water Quality</Value></Concern></Concerns><Opportunities><Opportunity><Value>Larger-Scale Restoration</Value></Opportunity><Opportunity><Value>Potential Partnership</Value></Opportunity><Opportunity><Value>Improve Condition</Value></Opportunity></Opportunities></Principal_Reason>,"Fishing Creek has been a restoration priority for the Forest for over 15 years in partnership with the Nez Perce Tribe.  The watershed is a stronghold for listed fish species, and has a legacy of effects from past management and insect infestations.",<Known_Partners><Partner><Name>Nez Perce Tribe</Name><Type>Known</Type></Partner><Partner><Name>Clearwater Basin Collaborative</Name><Type>Known</Type></Partner></Known_Partners>,2011-10-28,2014-12-31,4,777000,2012-09-10,,Y,0117,Fishing Creek WRAP,2011-10-28,Y,17202.031
14905,Kootenai National Forest,170102131302,Pilgrim Creek,Functioning Properly,18388.4,91,9,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,2014,"<Principal_Reason><Concerns><Concern><Value>Riparian Structure and Function</Value></Concern><Concern><Value>Species Habitat</Value></Concern><Concern><Value>Water Quality</Value></Concern></Concerns><Cost>$100,000 to $1 million</Cost></Principal_Reason>","303d listing. Some riparian areas in poor condition due to channelizationi, removal of riparian veg and bank destabilization. Aquatic habitats are listed as impaired due to elveated strea temp and other habitat alterations. ",<Known_Partners><Partner><Name>Sanders County Weed District</Name><Type>Known</Type></Partner><Partner><Name>Rush Skeleton Weed COOP</Name><Type>Known</Type></Partner></Known_Partners>,2014-09-04,2021-09-30,12,430000,,,Y,0114,Pilgrim Creek WRAP,2014-09-04,,16807.922
14945,Beaverhead-Deerlodge National Forest,100200010402,Lower Little Sheep Creek,Functioning Properly,31002.4,20,80,Fair,Good,Good,Fair,Fair,Fair,Good,Good,Good,Good,Good,Good,2023,<Principal_Reason><Resources><Resource><Value>Wild and Scenic River</Value></Resource></Resources><Concerns><Concern><Value>Water Quantity</Value></Concern></Concerns></Principal_Reason>,adfafsdasf,,,,,,,,,0102,,,,6116.409000000001
