"","HUC_12","sdelFS_nfsr","sdelFS_nfsl","sdelFS_jur_fs"
"513","170102090507",0.0377841717211533,0.0377841717211533,0.0377841717211533
"514","170102090508",0.00827232051063135,0.00827232051063135,0.00827232051063135
"515","170102090509",0.292785119637498,0.303147443101949,0.303147443101949
"516","170102090601",0.215829233698245,0.215829233698245,0.215829233698245
"517","170102090602",0.602188936775692,0.602188936775692,0.602188936775692
"518","170102090603",1.02146605189643,1.02146605189643,1.02146605189643
"519","170102090604",0.83945518772536,0.83945518772536,0.83945518772536
"520","170102090605",1.39620833789641,1.39620833789641,1.39620833789641
"521","170102090606",0.373340681075499,0.373340681075499,0.373340681075499
"522","170102090607",1.48472764868686,1.48472764868686,1.48472764868686
"523","170102090701",1.88142195295412,1.88142195295412,1.88142195295412
"524","170102090702",0.152544516637435,0.152544516637435,0.152544516637435
"525","170102090703",1.21623862536316,1.21836631126221,1.21836631126221
"526","170102090704",0.3688585007541,0.3688585007541,0.3688585007541
"527","170102090705",2.59549457379984,2.59549457379984,2.59549457379984
"528","170102090706",1.66644996709711,1.67728689601457,1.66644996709711
"529","170102090707",0.431926999533355,0.59457187401211,0.431926999533355
"530","170102100101",0.294870644938454,0.420886393330814,0.294870644938454
"531","170102100102",8.61387990181157,8.65240189284092,8.61387992657889
"532","170102100103",1.48158148727864,1.52318353482192,1.48158148727864
"533","170102100105",0.0857846441249844,0.0857846441249844,0.0857846441249844
"534","170102100106",2.23851110189481,2.23851131118487,2.23851131118487
"535","170102100107",0.514371465790569,0.579482183174957,0.519102803281951
"536","170102100201",1.845900007932,1.85918827193801,1.845900007932
"537","170102100202",1.00094891364557,1.00094891364557,1.00094891364557
"538","170102100203",2.26428138693066,2.27358542934678,2.27333843757443
"539","170102100204",2.42626378359097,2.47559450394409,2.45763788509083
"540","170102100301",0.132906411954796,0.136475502594928,0.132906411954796
"541","170102100302",0.520753275769205,0.532077540519072,0.522449861212816
"542","170102100303",2.23853464041971,2.23961444771469,2.23900944174775
"543","170102100304",2.08352937130825,2.0876011684725,2.08365122323657
"544","170102100305",2.48549495220253,2.527314808532,2.49076752518878
"545","170102100306",2.23744616956533,2.29309954050468,2.28780183528707
"546","170102100307",1.26237803849097,1.26721992360142,1.26237803849097
"547","170102100308",0.463425976887844,0.557673682164121,0.54962512311259
"548","170102100401",1.45566534599414,1.64953762087089,1.46586849520707
"549","170102100402",2.68232308379544,2.71871688280278,2.70548061489228
"550","170102100502",1.16066225445471,1.16066225445471,1.16066225445471
"551","170102100505",0.363583834750711,0.367281832974443,0.363583834750711
"552","170102100506",0.191890358216202,0.353267355182447,0.329929928511674
"553","170102100507",0.000169995341385266,0.700050458705462,0.679648685877661
"554","170102110101",1.91780677676162,2.13016181650259,2.01624900829612
"555","170102110102",0.46047506465616,0.48605976419865,0.46047506465616
"556","170102110103",1.08921936587675,1.51536927948304,1.14897839017411
"557","170102110104",0.53356513167037,0.53356513167037,0.53356513167037
"558","170102110105",0.53356513167037,0.53356513167037,0.53356513167037
"559","170102110106",1.10133872439324,1.36453049195987,1.12218445329102
"560","170102110201",0.0717925964981054,0.0952098529075087,0.0717925964981054
"561","170102110202",1.24191197934901,1.26999029574367,1.25110383475487
"562","170102110203",0.401049795268483,0.438716002258084,0.401049795268483
"563","170102110204",0.561284126514726,0.594508980533287,0.562827314011904
"564","170102110205",0.401049795268483,0.438716002258084,0.401049795268483
"565","170102110206",0.355974759250185,0.390785862499159,0.383910895435378
"566","170102110207",0.422194006153979,0.447433223309096,0.422194006153979
"567","170102110301",0.943001650634482,0.943420244748992,0.943001650634482
"568","170102110302",0.250801440836442,0.274769899443628,0.254253257460174
"569","170102110303",1.01074244664985,1.02967270657042,1.01074244664985
"570","170102110304",0.159757937525383,0.162389031128946,0.159757937525383
"571","170102110305",0.0890502833905767,0.0910329724958417,0.0890502833905767
"572","170102110306",0.831068087319749,0.908819430787947,0.85138955306035
"573","170102110307",0.47971328889755,0.620705059363315,0.489912334408949
"574","170102110308",0.713557009702799,0.746824366459282,0.743744381439098
"575","170102110401",0.915363938485308,1.21934315449399,1.03184772589619
"576","170102110402",0.454442319721522,0.517092047023564,0.473133613680482
"577","170102120101",0.427403848001545,0.442734119956748,0.434346772232353
"578","170102120104",0.197254500136919,0.201557680826417,0.197597544620051
"579","170102120810",1.29096139528599,1.53308846035036,1.52456465725224
"580","170102130101",0.281858417344756,0.345936652966668,0.302252764869573
"581","170102130102",0.171232489090186,0.269502838723822,0.171232489090186
"582","170102130103",0.493993742808153,0.755266539636355,0.664311909323178
"583","170102130104",0.349197919790227,0.479677933168495,0.417362462173884
"584","170102130105",0.0379997257324503,0.384578494167681,0.276489303403674
"585","170102130201",2.46111026466179,2.51780038155058,2.46111026466179
"586","170102130202",0.127271819843985,0.666321422509233,0.655706897076994
"587","170102130203",0.995602321399011,1.00796902531893,0.990961338051436
"588","170102130204",0.409237957148678,0.409237957148678,0.409237957148678
"589","170102130301",2.4710246445677,2.80298006294011,2.7676347044224
"590","170102130302",3.02058807368786,3.27318909817141,3.26854047847688
"591","170102130303",3.69056161523075,3.87138888331755,3.84192199291027
"592","170102130304",3.31572537583034,4.20993479757517,3.89366062216257
"593","170102130305",0.0263622503315658,0.0263622503315658,0.0263622503315658
"594","170102130401",3.04378426508306,3.32009385099368,3.31886562390363
"595","170102130402",5.39740351654611,9.10575456209806,9.07938353445798
"596","170102130403",2.77631500976806,3.24353221670231,3.24353221670231
"597","170102130404",4.15610561489971,9.33468834887733,9.10102043828229
"598","170102130405",6.68025898258245,8.6785036721852,8.6785036721852
"599","170102130406",2.36463936389921,2.94251651553862,2.81755453812214
"600","170102130407",1.84132979179757,2.59652738940235,2.57666529819159
"601","170102130501",0.0453834105346444,0.402329891161744,0.0533282835238654
"602","170102130502",1.83630950887091,2.12480585257181,2.11096374336837
"603","170102130503",0.10394897023385,0.457502194062551,0.371613139275108
"604","170102130504",0.0951808623693633,0.194316225350244,0.0951808623693633
"605","170102130505",1.64828942105632,4.05541422620801,3.80482387025088
"606","170102130506",1.19790954316593,1.21494397735235,1.2109652828984
"607","170102130508",6.89785494267762,8.91683937024905,8.89886032999663
"608","170102130509",5.80766003295782,10.3101956073004,10.2508224868048
"609","170102130510",0.0208171136321719,0.195504940971449,0.129754690598974
