pc1_hydrogroups,pc2_hydrogroups,pc3_hydrogroups,pc4_hydrogroups,pc5_hydrogroups,pc6_hydrogroups,pc1_swe,pc2_swe,pc3_swe,pc4_swe,pc1_all_variables,pc2_all_variables,pc3_all_variables,pc4_all_variables,pc5_all_variables,pc6_all_variables,pc7_all_variables,pc8_all_variables,pc9_all_variables,pc10_all_variables,pc11_all_variables,pc12_all_variables,pc13_all_variables,pc14_all_variables,pc15_all_variables,pc16_all_variables,pc17_all_variables,pc18_all_variables,pc19_all_variables,pc20_all_variables,pc21_all_variables,pc22_all_variables,pc23_all_variables,pc24_all_variables,pc25_all_variables,pc26_all_variables,pc27_all_variables,pc28_all_variables,pc29_all_variables,us_tmax_1981_2010_int_cpg_all,us_precip_1981_2010_cpg_all,twi_100_int_cpg_all,swe_avg_0801_cpg_all,swe_avg_0701_cpg_all,swe_avg_0601_cpg_all,swe_avg_0501_cpg_all,swe_avg_0401_cpg_all,swe_avg_0301_cpg_all,streamslope_percent_int_cpg_all,slope_percent_int_cpg_all,silt_100_cpg_all,sep_et_2000_2015_cpg_all,sand_100_cpg_all,permeable_100_cpg_all,nlcd_2011_wetlands_100_cpg_all,nlcd_2011_forest_100_cpg_all,jul_et_2000_2015_cpg_all,impermeable_100_cpg_all,hydrogrp_d_100_cpg_all,hydrogrp_c_100_cpg_all,hydrogrp_b_100_cpg_all,hydrogrp_a_100_cpg_all,fac_taudem_17all_int,dwta_cpg_all,clay_100_cpg_all,baseflow_index_cpg_all,awc_int_100_cpg_all,aug_et_2000_2015_cpg_all,stream,site,value_tons,y,x
-173.87393188476563,31.2922306060791,14.283692359924316,-0.13751983642578125,-3.482760429382324,0.39597898721694946,-62.38588333129883,-3.6692757606506348,3.1916582584381104,0.5209924578666687,-26502.333984375,25874.67578125,338.9319152832031,-17.7081241607666,56.30400848388672,111.47004699707031,-23.453397750854492,-19.50570297241211,-1.6965287923812866,-29.28934669494629,-5.798844814300537,-7.824838161468506,-15.509867668151855,2.6406242847442627,0.7654115557670593,-5.248968124389648,-0.5733677744865417,-3.5596187114715576,-1.7717856168746948,-5.2554097175598145,-3.086104393005371,-2.615459442138672,-3.5284433364868164,0.3964342176914215,0.17666193842887878,0.1221359446644783,-1.4430233240127563,-0.8202665448188782,-0.05642787739634514,1036,62229,717,0,0,2,75,164,193,19,28,3506,18,4991,0,0,65,101,100,0,0,100,0,7866,201,1503,75,10,72,Fish Creek,FL8009,3.221,-114.6528690551349,48.1925090405758
6.292775630950928,70.32481384277344,-1.6042389869689941,-13.368626594543457,-2.1001274585723877,0.5249788165092468,-62.38588333129883,-3.6692757606506348,3.1916582584381104,0.5209924578666687,-8627.6083984375,23687.365234375,-553.5595703125,83.68769836425781,179.2212677001953,198.60806274414063,-68.41761779785156,9.394807815551758,-8.701869010925293,-27.825929641723633,18.961254119873047,13.353069305419922,0.2940281331539154,-6.035970687866211,-20.43730926513672,10.553445816040039,7.192032814025879,-4.3531060218811035,1.9289900064468384,2.877274751663208,-2.1462011337280273,-3.8436334133148193,0.7848695516586304,0.8373083472251892,0.2819812297821045,2.115690231323242,-0.8618658781051636,0.4499495327472687,0.08111772686243057,937,64421,709,0,1,26,181,290,275,17,28,4056,29,4303,17,0,55,115,83,0,0,100,0,25740,201,1640,74,10,85,Gregg Creek,FL8002,4.5581818181818186,-114.74305051375504,48.456729033288504
-125.0190200805664,57.78130340576172,20.91420555114746,-8.162313461303711,3.161694288253784,0.5275042653083801,-62.38588333129883,-3.6692757606506348,3.1916582584381104,0.5209924578666687,3090.13916015625,24491.53515625,594.7939453125,-460.7323303222656,147.77886962890625,111.45529174804688,-94.63858795166016,-5.123498916625977,-5.660924434661865,-34.76747512817383,-31.4840087890625,-10.478242874145508,-24.40338706970215,-9.763738632202148,1.2922953367233276,-4.545217990875244,-0.4735107719898224,-7.693648338317871,2.9638688564300537,3.169739007949829,-2.292478561401367,-1.9376044273376465,-2.1723222732543945,0.3421156704425812,1.0156973600387573,-0.12119600176811218,-0.279190331697464,0.29754382371902466,0.021503251045942307,1004,63625,795,0,0,2,90,210,223,8,14,3100,22,5123,0,0,66,108,100,0,0,100,0,37458,201,1778,74,9,79,Squaw Creek,FL8020,2.423333333333333,-114.77744260675742,48.27781110672268
-85.12068939208984,71.3071517944336,16.386943817138672,-12.168122291564941,0.8022010922431946,0.7822810411453247,-62.38588333129883,-3.6692757606506348,3.1916582584381104,0.5209924578666687,-29100.60546875,23733.294921875,710.39752197265625,-716.60968017578125,214.89376831054688,159.65538024902344,-52.19878005981445,13.143349647521973,-13.0261869430542,-22.380735397338867,-24.945016860961914,2.419776201248169,-14.42119026184082,-7.8522443771362305,7.8973188400268555,1.6279065608978271,2.5174360275268555,-7.224920272827148,4.462698459625244,2.141347646713257,-3.247729778289795,-1.0854196548461914,-3.1342098712921143,0.6688939929008484,0.6851298809051514,-0.08515097200870514,-1.446986198425293,-0.2698419988155365,-0.07287734001874924,984,64374,740,0,0,2,114,239,243,12,18,2880,25,5170,0,0,83,114,100,0,0,100,0,5267,201,1950,75,9,86,Squaw Creek Tributary,FL8021,1.610909090909091,-114.77206549739876,48.270218332267774
686.19769287109375,103.5025863647461,-4.694704055786133,-0.35842961072921753,-7.506574630737305,2.645529270172119,41.76719284057617,69.36559295654297,7.404384613037109,1.0662541389465332,99516.7890625,-46037.5,55.78064727783203,-234.28892517089844,209.8048095703125,-19.318906784057617,7.4549407958984375,142.1205291748047,48.648704528808594,-11.786788940429688,0.6983005404472351,-26.015838623046875,2.279451847076416,4.0562896728515625,-2.058633327484131,6.80387020111084,-2.972770929336548,-8.079638481140137,0.334006667137146,-2.4041268825531006,-1.8642830848693848,-0.6060140132904053,-4.305988311767578,2.863992691040039,0.05676303803920746,0.7328788042068481,-0.8562716841697693,-0.4338167905807495,-0.12203172594308853,851,134178,661,0,42,227,580,685,601,29,45,3819,33,4941,16,0,81,127,84,90,0,10,0,133861,201,1222,70,8,99,Sullivan Creek,FL4004,11.673333333333334,-113.70640540060543,48.006397325484656
857.10235595703125,-35.022701263427734,-27.155710220336914,23.030134201049805,3.7493972778320313,0.38101112842559814,51.02524185180664,75.85758209228516,7.778849124908447,1.1147218942642212,-22534.34375,-48643.98046875,-335.7259216308594,152.51499938964844,333.40948486328125,-39.669288635253906,-9.923272132873535,12.36800479888916,28.189556121826172,14.815774917602539,25.39457893371582,-7.388406276702881,27.581937789916992,-1.8877192735671997,14.592748641967773,-19.172006607055664,-3.2186331748962402,-2.993337869644165,3.5625548362731934,-2.1564273834228516,-0.340045690536499,7.499736309051514,-2.284031391143799,-0.40030235052108765,0.03869478031992912,-0.838788628578186,1.9352720975875854,0.02015657350420952,-0.048234518617391586,752,136739,664,2,73,387,726,723,617,28,37,4254,16,4692,28,0,78,98,72,98,0,2,0,11809,201,997,68,8,70,Whitcomb Creek Lower,FL4001,16.466923076923077,-113.3526833979154,47.950506271650184
888.74932861328125,-25.298446655273438,-29.34843635559082,24.194231033325195,3.162559747695923,1.0136338472366333,49.867984771728516,75.04608917236328,7.732040882110596,1.1086634397506714,-26683.52734375,-57056.76953125,-461.8216857910156,185.55067443847656,274.5399475097656,-50.32732391357422,-24.825244903564453,11.032465934753418,28.403656005859375,3.1064414978027344,17.065990447998047,-4.433747291564941,25.053314208984375,-5.890975475311279,14.83810043334961,-21.2752742767334,-1.1090556383132935,-6.823304653167725,6.477656364440918,-2.662888765335083,-0.7971563339233398,9.893321990966797,-0.9545665979385376,0.2416708767414093,-0.049077358096838,-0.14603379368782043,2.1064319610595703,0.09837605059146881,-0.039384376257658005,723,145150,675,1,71,390,744,744,635,25,32,4380,17,4618,22,0,77,98,78,97,0,3,0,7657,201,932,68,8,70,Whitcomb Creek Upper,FL4005,19.100833333333334,-113.35353107157515,47.95808357304354
626.47894287109375,65.6482162475586,-32.742454528808594,13.093193054199219,0.2791525423526764,-1.4139132499694824,32.633296966552734,61.46489715576172,7.019079685211182,1.0167045593261719,-14170.693359375,-35671.86328125,-114.74748992919922,56.641605377197266,239.9267120361328,52.44593048095703,-65.1552734375,53.368141174316406,41.70216751098633,47.779571533203125,114.49317932128906,13.149118423461914,20.783926010131836,-8.599248886108398,25.12398338317871,-7.853700637817383,-0.7271378040313721,-7.961468696594238,7.6332244873046875,-3.7707371711730957,1.8730510473251343,3.4544546604156494,1.1324656009674072,-1.7302123308181763,-0.013796214014291763,-1.1865044832229614,2.380810260772705,0.3164120316505432,-0.05943397432565689,753,123772,656,0,23,234,569,632,549,21,35,4029,15,4811,96,0,86,88,4,81,1,18,0,20177,201,1105,67,8,63,Challenge Creek,FL6005,3.975555555555556,-113.33021646231771,48.23198306902344
522.2850341796875,55.74302673339844,-42.01698303222656,9.11233139038086,-7.810042381286621,-0.9497036337852478,-14.938371658325195,29.60216522216797,5.110788822174072,0.7693894505500793,-22112.271484375,-27958.23828125,407.4013671875,-520.96685791015625,287.5580139160156,52.139652252197266,-46.48005294799805,42.19097137451172,15.96178150177002,-8.32969856262207,61.446441650390625,16.613269805908203,34.71173858642578,-7.7885661125183105,-10.550918579101563,-5.0322113037109375,1.2237200736999512,-8.684176445007324,3.4897408485412598,-7.07468318939209,-1.9523322582244873,0.5296473503112793,0.8368237018585205,-1.7496834993362427,0.6654579639434814,-1.8716273307800293,2.9705982208251953,0.43597835302352905,-0.018484238535165787,806,116061,685,0,19,199,519,566,494,19,32,3371,23,5113,53,0,59,105,47,41,0,59,0,12238,201,1494,67,8,79,Dodge Creek,FL6012,3.333333333333333,-113.33329866784479,48.23144139180228
341.7469177246094,92.719390869140625,-39.170623779296875,-6.713802814483643,-8.887709617614746,-1.028409481048584,-53.12783432006836,2.8227128982543945,3.5661227703094482,0.5694601535797119,-27658.1484375,-28313.533203125,944.61822509765625,-740.26287841796875,140.9970245361328,61.28803634643555,-73.01847839355469,31.288393020629883,7.49285888671875,-17.917844772338867,105.01341247558594,32.286861419677734,18.827545166015625,-11.29035472869873,-28.287931442260742,7.102425575256348,3.010364055633545,-12.114084243774414,5.966087818145752,-4.172920227050781,-0.895503580570221,1.4306352138519287,2.4917993545532227,-1.8651446104049683,0.7088005542755127,-1.8794406652450562,3.2772254943847656,0.5254026651382446,-0.0017216745764017105,806,116417,693,0,2,109,401,484,422,16,27,2959,21,5502,81,0,35,98,19,8,0,92,0,6692,201,1516,67,8,73,Skyland Creek West Fork,FL6010,3.379090909090909,-113.36009377695659,48.28061657633227
